file created! 
fitting BB model: 
{'epoch': 0, 'loss': 1.2952759265899658, 'acc': 0.3543689250946045}
{'epoch': 1, 'loss': 1.159564733505249, 'acc': 0.6140776872634888}
{'epoch': 2, 'loss': 1.0705904960632324, 'acc': 0.6165048480033875}
{'epoch': 3, 'loss': 0.9884936809539795, 'acc': 0.5954692363739014}
{'epoch': 4, 'loss': 0.916299045085907, 'acc': 0.5436893105506897}
{'epoch': 5, 'loss': 0.8506380915641785, 'acc': 0.5655339956283569}
{'epoch': 6, 'loss': 0.780117392539978, 'acc': 0.6165048480033875}
{'epoch': 7, 'loss': 0.7276623249053955, 'acc': 0.6828479170799255}
{'epoch': 8, 'loss': 0.6767194271087646, 'acc': 0.7467637658119202}
{'epoch': 9, 'loss': 0.6318874359130859, 'acc': 0.7961165308952332}
{'epoch': 10, 'loss': 0.5989702343940735, 'acc': 0.8333333134651184}
{'epoch': 11, 'loss': 0.5443407297134399, 'acc': 0.8794498443603516}
{'epoch': 12, 'loss': 0.5054011940956116, 'acc': 0.8697410821914673}
{'epoch': 13, 'loss': 0.4612634778022766, 'acc': 0.901294469833374}
{'epoch': 14, 'loss': 0.43162837624549866, 'acc': 0.9069579243659973}
{'epoch': 15, 'loss': 0.39303743839263916, 'acc': 0.9166666865348816}
{'epoch': 16, 'loss': 0.3856499493122101, 'acc': 0.913430392742157}
{'epoch': 17, 'loss': 0.3495274782180786, 'acc': 0.9344660043716431}
{'epoch': 18, 'loss': 0.32716190814971924, 'acc': 0.9288026094436646}
{'epoch': 19, 'loss': 0.30671021342277527, 'acc': 0.9328479170799255}
{'epoch': 20, 'loss': 0.30730322003364563, 'acc': 0.9223300814628601}
{'epoch': 21, 'loss': 0.2734508812427521, 'acc': 0.9344660043716431}
{'epoch': 22, 'loss': 0.25010946393013, 'acc': 0.942556619644165}
{'epoch': 23, 'loss': 0.24890650808811188, 'acc': 0.9336569309234619}
{'epoch': 24, 'loss': 0.23047490417957306, 'acc': 0.9474110007286072}
{'epoch': 25, 'loss': 0.22627969086170197, 'acc': 0.938511312007904}
{'epoch': 26, 'loss': 0.21158036589622498, 'acc': 0.9449838399887085}
{'epoch': 27, 'loss': 0.185299813747406, 'acc': 0.9538834691047668}
{'epoch': 28, 'loss': 0.20555861294269562, 'acc': 0.9401294589042664}
{'epoch': 29, 'loss': 0.18319500982761383, 'acc': 0.9563106894493103}
{'epoch': 30, 'loss': 0.17946124076843262, 'acc': 0.9595469236373901}
{'epoch': 31, 'loss': 0.1688811480998993, 'acc': 0.954692542552948}
{'epoch': 32, 'loss': 0.1507345736026764, 'acc': 0.9676375389099121}
{'epoch': 33, 'loss': 0.1487381011247635, 'acc': 0.966828465461731}
{'epoch': 34, 'loss': 0.15181094408035278, 'acc': 0.9603559970855713}
{'epoch': 35, 'loss': 0.1391817331314087, 'acc': 0.96278315782547}
{'epoch': 36, 'loss': 0.12690487504005432, 'acc': 0.9724919199943542}
{'epoch': 37, 'loss': 0.12005295604467392, 'acc': 0.9716828465461731}
{'epoch': 38, 'loss': 0.12188348919153214, 'acc': 0.9660193920135498}
{'epoch': 39, 'loss': 0.11274653673171997, 'acc': 0.9749190807342529}
{'epoch': 40, 'loss': 0.13606426119804382, 'acc': 0.9619740843772888}
{'epoch': 41, 'loss': 0.11230119317770004, 'acc': 0.966828465461731}
{'epoch': 42, 'loss': 0.1100100427865982, 'acc': 0.9684466123580933}
{'epoch': 43, 'loss': 0.1150875985622406, 'acc': 0.9757281541824341}
{'epoch': 44, 'loss': 0.09896114468574524, 'acc': 0.9749190807342529}
{'epoch': 45, 'loss': 0.08416648954153061, 'acc': 0.9830096960067749}
{'epoch': 46, 'loss': 0.07287658751010895, 'acc': 0.9886731505393982}
{'epoch': 47, 'loss': 0.087441086769104, 'acc': 0.9781553149223328}
{'epoch': 48, 'loss': 0.07394132018089294, 'acc': 0.9830096960067749}
{'epoch': 49, 'loss': 0.06900674104690552, 'acc': 0.9862459301948547}
{'epoch': 50, 'loss': 0.06565295159816742, 'acc': 0.9886731505393982}
{'epoch': 51, 'loss': 0.07438905537128448, 'acc': 0.9854369163513184}
{'epoch': 52, 'loss': 0.06514620780944824, 'acc': 0.9870550036430359}
{'epoch': 53, 'loss': 0.06757786870002747, 'acc': 0.987864077091217}
{'epoch': 54, 'loss': 0.05432794988155365, 'acc': 0.991909384727478}
{'epoch': 55, 'loss': 0.05385617911815643, 'acc': 0.991909384727478}
{'epoch': 56, 'loss': 0.06592203676700592, 'acc': 0.9846278429031372}
{'epoch': 57, 'loss': 0.06057918444275856, 'acc': 0.987864077091217}
{'epoch': 58, 'loss': 0.05408751964569092, 'acc': 0.9927184581756592}
{'epoch': 59, 'loss': 0.051129791885614395, 'acc': 0.9935275316238403}
{'epoch': 60, 'loss': 0.04804917052388191, 'acc': 0.991909384727478}
{'epoch': 61, 'loss': 0.05310724675655365, 'acc': 0.9894822239875793}
{'epoch': 62, 'loss': 0.05107642710208893, 'acc': 0.9902912378311157}
{'epoch': 63, 'loss': 0.04385412856936455, 'acc': 0.9911003112792969}
{'epoch': 64, 'loss': 0.04874183610081673, 'acc': 0.9886731505393982}
{'epoch': 65, 'loss': 0.03681587055325508, 'acc': 0.9943365454673767}
{'epoch': 66, 'loss': 0.03869637846946716, 'acc': 0.991909384727478}
{'epoch': 67, 'loss': 0.03630943223834038, 'acc': 0.9943365454673767}
{'epoch': 68, 'loss': 0.036720193922519684, 'acc': 0.9935275316238403}
{'epoch': 69, 'loss': 0.03498353809118271, 'acc': 0.9951456189155579}
{'epoch': 70, 'loss': 0.03755055367946625, 'acc': 0.9894822239875793}
{'epoch': 71, 'loss': 0.032419297844171524, 'acc': 0.9951456189155579}
{'epoch': 72, 'loss': 0.0532226637005806, 'acc': 0.983818769454956}
